詞目id,詞目類型,漢字,羅馬字,分類
431,主詞目,下晝,ē-tàu,時間節令
432,主詞目,下晡,ē-poo,時間節令
433,主詞目,小票,sió-phiò,錢財資產
434,主詞目,三絃,sam-hiân,戲劇、音樂
435,主詞目,大細,tuā-sè/tuā-suè,"形貌、體積,性質、程度"
436,主詞目,大細心,tuā-sè-sim/tuā-suè-sim,"個性風格,心理狀態,待人處事"
437,主詞目,大細目,tuā-sè-ba̍k/tuā-suè-ba̍k,"生理構造,個性風格,心理狀態,待人處事"
438,主詞目,山頂,suann-tíng,"地理,自然現象"
439,主詞目,工場,kang-tiûnn,科技、工業
440,主詞目,大富,tuā-pù,生活狀況
441,主詞目,大寒,tuā-kuânn,"氣候溫度,時間節令"
442,主詞目,大富大貴,tuā-hù-tuā-kuì,
443,主詞目,大摒掃,tuā-piànn-sàu,生活勞動
444,主詞目,上殕,tshiūnn-phú,"自然現象,植物形體、狀態,食物、飲料、煙酒,形貌、體積"
445,主詞目,下港,ē-káng,"地理,空間方位"
446,主詞目,大港,tuā-káng,地理
447,主詞目,大湧,tuā-íng,自然現象
448,主詞目,干焦,kan-na,副詞
449,主詞目,下痟,hā-siau,"才智能力,傷疾病痛"
450,主詞目,口琴,kháu-khîm,戲劇、音樂
451,主詞目,工程,kang-tîng,科技、工業
452,主詞目,工程師,kang-tîng-su,科技、工業
453,主詞目,上等,siōng-tíng,性質、程度
454,主詞目,大筒,tuā-tâng,"醫療保健,生活用品"
455,主詞目,小等,sió-tán,一般動詞-靜態動詞
456,主詞目,土菝仔,thóo-pua̍t-á,"蔬果作物,醫療保健,食物、飲料、煙酒"
457,主詞目,上訴,siōng-sòo,法律
458,主詞目,大量,tāi-liōng,
459,主詞目,弓開,king--khui,性質、程度
460,主詞目,凡勢,huān-sè,副詞
461,主詞目,山勢,suann-sè,"地理,自然現象"
462,主詞目,土想,thóo-siūnn,心理活動
463,主詞目,下暗,e-àm,時間節令
464,主詞目,工會,kang-huē,"組織團體,相關用語"
465,主詞目,工業,kang-gia̍p,科技、工業
466,主詞目,才會,tsiah ē,連詞、介詞
467,主詞目,山溝,suann-kau,"地理,自然現象"
468,主詞目,山盟海誓,san-bîng-hái-sè,性質、程度
469,主詞目,下落,hē-lo̍h,境況、狀態-擬人
470,主詞目,千萬,tshian-bān,"數詞、量詞,副詞"
471,主詞目,大腸,tuā-tn̂g,"生理構造,食物、飲料、煙酒"
472,主詞目,大舅,tuā-kū,"宗族、家庭,稱謂輩分"
473,主詞目,小腸,sió-tn̂g,"生理構造,食物、飲料、煙酒"
474,主詞目,山腰,suann-io,"地理,自然現象"
475,主詞目,大腹肚,tuā-pak-tóo,生養老死
476,主詞目,口試,kháu-tshì,"相關用語,教育、學術"
477,主詞目,下跤,ē-kha,空間方位
478,主詞目,土話,thóo-uē,國家、社會、民眾
479,主詞目,大話,tuā-uē,氣質態度
480,主詞目,山貉,suann-hô,獸類
481,主詞目,山賊,suann-tsha̍t,"泛稱,地位、身世、背景"
482,主詞目,山跤,suann-kha,"地理,自然現象"
483,主詞目,下跤手人,ē-kha-tshiú-lâng,"泛稱,相關用語"
484,主詞目,大跤胴,tuā-kha-tâng,體態樣貌
485,主詞目,三跤馬,sann-kha-bé,生活用品
486,主詞目,三跤貓,sann-kha-niau,泛稱
487,主詞目,低路,kē-lōo,才智能力
488,主詞目,大路,tuā-lōo,"個性風格,道路、橋梁"
489,主詞目,小路,sió-lōo,道路、橋梁
490,主詞目,大道公,Tāi-tō-kong,神明、鬼怪、教派
491,主詞目,三頓,sann tǹg,食物、飲料、煙酒
492,主詞目,山雺,suann-bông,"天文,自然現象"
493,主詞目,大鼓,tuā-kóo,戲劇、音樂
494,主詞目,大壽,tuā-siū,"生養老死,婚喪喜慶"
495,主詞目,大漢,tuā-hàn,生養老死
496,主詞目,大箍,tuā-khoo,"體態樣貌,形貌、體積,數詞、量詞"
497,主詞目,大箍呆,tuā-khoo-tai,體態樣貌
498,主詞目,上緊,siōng kín,"時間節令,性質、程度"
499,主詞目,大腿,tuā-thuí,生理構造
500,主詞目,大腿骨,tuā-thuí-kut,生理構造
501,主詞目,上蓋,siōng-kài,副詞
502,主詞目,小說,sió-suat,文學、藝術
503,主詞目,大銀,tuā-gîn/tuā-gûn,相關器具、活動
504,主詞目,小銀,sió-gîn/sió-gûn,相關器具、活動
505,主詞目,亡魂,bông-hûn,"生養老死,相關器具、活動"
506,主詞目,大餅,tuā-piánn,"兩性、婚姻,婚喪喜慶,事、物泛稱"
507,主詞目,三層,sam-tsân,"動物形體、行為,食物、飲料、煙酒"
508,主詞目,工寮,kang-liâu,建築物、結構
509,主詞目,工廠,kang-tshiúnn,"科技、工業,建築物、結構"
510,主詞目,三層肉,sam-tsân-bah,食物、飲料、煙酒
511,主詞目,大廣絃,tuā-kóng-hiân,戲劇、音樂
512,主詞目,小數,sió-sòo,"性質、程度,數詞、量詞"
513,主詞目,干樂,kan-lo̍k,休閒、娛樂
514,主詞目,大熱,tuā-jua̍h/tuā-lua̍h,氣候溫度
515,主詞目,大範,tuā-pān,氣質態度
516,主詞目,山線,suann-suànn,道路、橋梁
517,主詞目,三線路,sam-suànn-lōo,道路、橋梁
518,主詞目,上課,siōng-khò,教育、學術
519,主詞目,工課,khang-khuè,"相關用語,生活勞動"
520,主詞目,才調,tsâi-tiāu,才智能力
521,主詞目,大賣,tuā-bē/tuā-buē,商業
522,主詞目,小賣,sió-bē/sió-buē,商業
523,主詞目,山豬,suann-ti/suann-tu,獸類
524,主詞目,下輩,ē-puè,稱謂輩分
525,主詞目,三輪車,sann-lián-tshia,交通、運輸
526,主詞目,下頦,ē-hâi,生理構造
527,主詞目,大學,tāi-ha̍k,教育、學術
528,主詞目,小學,sió-ha̍k,教育、學術
529,主詞目,弓蕉,king-tsio,"蔬果作物,食物、飲料、煙酒"
530,主詞目,弓蕉油,king-tsio-iû,"科技、工業,食物、飲料、煙酒"
531,主詞目,山貓,suann-niau,獸類
532,主詞目,口頭,kháu-thâu,語言、文字、符號
533,主詞目,山頭,suann-thâu,"地理,自然現象,生養老死,婚喪喜慶"
534,主詞目,工頭,kang-thâu,相關用語
535,主詞目,上頭仔,siōng-thâu-á,性質、程度
536,主詞目,大頭拇,tuā-thâu-bú,生理構造
537,主詞目,大頷胿,tuā-ām-kui,"氣質態度,傷疾病痛"
538,主詞目,大頭菜,tuā-thâu-tshài,"蔬果作物,食物、飲料、煙酒"
539,主詞目,大戲,tuā-hì,戲劇、音樂
540,主詞目,山嶺,suann-niá,"地理,自然現象"
541,主詞目,土檨仔,thóo-suāinn-á,"蔬果作物,食物、飲料、煙酒"
542,主詞目,上濟,siōng tsē/siōng tsuē,副詞
543,主詞目,上聲,sióng-siann,語言、文字、符號
544,主詞目,大聲,tuā-siann,"反應、表情,待人處事"
545,主詞目,大膽,tuā-tánn,個性風格
546,主詞目,大聲話,tuā-siann-uē,氣質態度
547,主詞目,下擺,ē-pái,時間節令
548,主詞目,小嬸,sió-tsím,"宗族、家庭,稱謂輩分"
549,主詞目,土雞仔,thóo-ke-á/thóo-kue-á,"禽類,相關用語"
550,主詞目,下顎,ē-kok,生理構造
551,主詞目,工藝,kang-gē,休閒、娛樂
552,主詞目,下願,hē-guān,心理活動
553,主詞目,大龐,tuā-phiāng,體態樣貌
554,主詞目,大麵,tuā-mī,食物、飲料、煙酒
555,主詞目,大欉,tuā-tsâng,"植物形體、狀態,體態樣貌"
556,主詞目,大廳,tuā-thiann,建築物、結構
557,主詞目,不,put,副詞
558,主詞目,丑,thiú,"時間節令,服務業及其他"
559,主詞目,中,tìng,一般動詞-靜態動詞
560,主詞目,中,tiong,空間方位
561,主詞目,中,tiòng,"一般動詞-行為動詞,一般動詞-靜態動詞"
562,主詞目,丹,tan,"醫療保健,相關器具、活動,顏色、氣味"
563,主詞目,之,tsi,"代名詞,連詞、介詞"
564,主詞目,予,hōo,"一般動詞-行為動詞,連詞、介詞"
565,主詞目,五,gōo,數詞、量詞
566,主詞目,五,ngóo,數詞、量詞
567,主詞目,井,tsénn/tsínn,"生活用品,居住環境"
568,主詞目,仁,jîn/lîn,"道德評價,形貌、體積,事、物泛稱"
569,主詞目,仄,tseh,語言、文字、符號
570,主詞目,仆,phak,肢體動作
571,主詞目,仇,siû,待人處事
572,主詞目,今,tann,時間節令
573,主詞目,允,ín/ún,一般動詞-行為動詞
574,主詞目,內,lāi,空間方位
575,主詞目,內,luē,空間方位
576,主詞目,公,kang,動物形體、行為
577,主詞目,公,kong,"地位、身世、背景,稱謂輩分,境況、狀態-擬事,性質、程度"
578,主詞目,六,la̍k,數詞、量詞
579,主詞目,六,lio̍k,數詞、量詞
580,主詞目,冇,phànn,"生活狀況,建築物、結構,性質、程度"
581,主詞目,冗,līng,"形貌、體積,性質、程度,一般動詞-靜態動詞"
582,主詞目,冗,liōng,性質、程度
583,主詞目,凶,hiong,"個性風格,境況、狀態-擬事"
584,主詞目,分,hun,"一般動詞-行為動詞,數詞、量詞"
585,主詞目,分,pun,一般動詞-行為動詞
586,主詞目,切,tshiat,一般動詞-行為動詞
587,主詞目,勻,ûn,"稱謂輩分,數詞、量詞"
588,主詞目,勼,kiu,"氣質態度,一般動詞-活動動詞"
589,主詞目,勾,kau,一般動詞-行為動詞
590,主詞目,內䘥仔,lāi-kah-á,衣帽鞋襪
591,主詞目,中人,tiong-lâng,服務業及其他
592,主詞目,允人,ín--lâng/ún--lâng,一般動詞-行為動詞
593,主詞目,不才,put-tsâi,稱謂輩分
594,主詞目,內山,lāi-suann,"地理,自然現象"
595,主詞目,內才,lāi-tsâi,才智能力
596,主詞目,分寸,hun-tshùn,"氣質態度,待人處事"
597,主詞目,不三不四,put-sam-put-sù,道德評價
598,主詞目,不仁,put-jîn/put-lîn,道德評價
599,主詞目,中元,Tiong-guân,"時間節令,生活狀況,相關器具、活動"
600,主詞目,五仁,ngóo-jîn/ngóo-lîn,"個性風格,食物、飲料、煙酒,語言、文字、符號"
601,主詞目,仁丹,jîn-tan/lîn-tan,醫療保健
602,主詞目,內公,lāi-kong,"宗族、家庭,稱謂輩分"
603,主詞目,公元,kong-guân,時間節令
604,主詞目,公分,kong-pun,一般動詞-行為動詞
605,主詞目,公分,kong-hun,數詞、量詞
606,主詞目,勻勻仔,ûn-ûn-á,心理狀態
607,主詞目,勻勻仔火,ûn-ûn-á-hué/ûn-ûn-á-hé,自然現象
608,主詞目,五分仔車,gōo-hun-á-tshia,交通、運輸
609,主詞目,不中用,put-tiòng-iōng,"泛稱,性質、程度"
610,主詞目,五分車,gōo-hun-tshia,交通、運輸
611,主詞目,不止,put-tsí,"性質、程度,副詞"
612,主詞目,中心,tiong-sim,空間方位
613,主詞目,井水,tsénn-tsuí/tsínn-tsuí,"生活用品,居住環境"
614,主詞目,內心,luē-sim,心理狀態
615,主詞目,公文,kong-bûn,政治
616,主詞目,公斤,kong-kin/kong-kun,數詞、量詞
617,主詞目,冇手,phànn-tshiú,個性風格
618,主詞目,切手,tshiat-tshiú,郵電、網路
619,主詞目,勼手,kiu-tshiú,一般動詞-行為動詞
620,主詞目,勼水,kiu-tsuí,衣帽鞋襪
621,主詞目,勾引,kau-ín,一般動詞-行為動詞
622,主詞目,六月天,la̍k-gue̍h-thinn/la̍k-ge̍h-thinn,時間節令
623,主詞目,不止仔,put-tsí-á,副詞
624,主詞目,六月冬,la̍k-gue̍h-tang/la̍k-ge̍h-tang,"時間節令,蔬果作物,農林業"
625,主詞目,五日節,Gōo-ji̍t-tseh/Gōo-li̍t-tsueh,"時間節令,生活狀況,相關器具、活動"
626,主詞目,五月節,Gōo-gue̍h-tseh/Gōo-ge̍h-tsueh,"時間節令,生活狀況,相關器具、活動"
627,主詞目,丑仔,thiú-á,"戲劇、音樂,休閒、娛樂"
628,主詞目,今仔,tann-á,時間節令
629,主詞目,今仔日,kin-á-ji̍t/kin-á-li̍t,時間節令
630,主詞目,勻仔是,ûn-á-sī,心理狀態
631,主詞目,中古,tiong-kóo,"時間節令,境況、狀態-擬物"
632,主詞目,內外,lāi-guā,空間方位
633,主詞目,五加皮,ngóo-ka-pî,食物、飲料、煙酒
634,主詞目,內奶,lāi-ling/lāi-ni,交通、運輸
635,主詞目,公平,kong-pênn/kong-pînn,心理狀態
636,主詞目,公母,kang-bó,事、物泛稱
637,主詞目,公民,kong-bîn,國家、社會、民眾
638,主詞目,中用,tiòng-iōng,"泛稱,性質、程度"
639,主詞目,中立,tiong-li̍p,"氣質態度,待人處事"
640,主詞目,丹田,tan-tiân,生理構造
641,主詞目,公用,kong-iōng,"境況、狀態-擬物,性質、程度"
642,主詞目,冇石仔,phànn-tsio̍h-á,資源礦物
643,主詞目,予伊,hōo i,連詞、介詞
644,主詞目,介在,kài-tsāi,副詞
645,主詞目,公共,kong-kiōng,"境況、狀態-擬物,擬聲、擬態"
646,主詞目,六合,lio̍k-ha̍p,空間方位
647,主詞目,今年,kin-nî,時間節令
648,主詞目,內地,lāi-tē/lāi-tuē,"地理,自然現象"
649,主詞目,凶年,hiong-nî,生活狀況
650,主詞目,中旬,tiong-sûn,時間節令
651,主詞目,冗早,liōng-tsá,副詞
652,主詞目,不死鬼,put-sú-kuí,
653,主詞目,內行,lāi-hâng,"相關用語,才智能力"
654,主詞目,內行的,lāi-hâng--ê,泛稱
655,主詞目,不而過,put-jî-kò/put-lî-kò,副詞
656,主詞目,不但,put-tān,連詞、介詞
657,主詞目,分伻,pun-phenn,一般動詞-行為動詞
658,主詞目,分別,hun-pia̍t,"心理活動,一般動詞-靜態動詞"
659,主詞目,不孝,put-hàu,道德評價
660,主詞目,不求人,put-kiû-jîn/put-kiû-lîn,"生活用品,休閒、娛樂"
661,主詞目,公里,kong-lí,數詞、量詞
662,主詞目,分身,hun-sin,"泛稱,相關用語"
663,主詞目,公事,kong-sū,相關用語
664,主詞目,中和,tiong-hô,"地理,科技、工業,境況、狀態-擬事"
665,主詞目,內底,lāi-té/lāi-tué,空間方位
666,主詞目,公所,kong-sóo,政治
667,主詞目,不服,put-ho̍k,心理狀態
668,主詞目,分明,hun-bîng,副詞
669,主詞目,不法,put-huat,法律
670,主詞目,六法全書,Lio̍k-huat-tsuân-su,法律
671,主詞目,公的,kang--ê,"動物形體、行為,植物形體、狀態"
672,主詞目,分的,pun--ê,"地位、身世、背景,性質、程度"
673,主詞目,五金,ngóo-kim,"資源礦物,科技、工業,生產工具"
674,主詞目,五金行,ngóo-kim-hâng,"科技、工業,生活用品,建築物、結構"
675,主詞目,中指,tiong-tsáinn,生理構造
676,主詞目,內政,luē-tsìng,政治
677,主詞目,五柳居,ngóo-liú-ki/ngóo-liú-ku,食物、飲料、煙酒
678,主詞目,中毒,tiòng-to̍k,傷疾病痛
679,主詞目,丹毒,tan-to̍k,傷疾病痛
680,主詞目,冇炭,phànn-thuànn,"資源礦物,廢棄物"
681,主詞目,分派,hun-phài,一般動詞-行為動詞
682,主詞目,中秋,Tiong-tshiu,"時間節令,生活狀況,相關器具、活動"
683,主詞目,內科,lāi-kho,醫療保健
684,主詞目,中秋節,Tiong-tshiu-tseh/Tiong-tshiu-tsueh,"時間節令,生活狀況,相關器具、活動"
685,主詞目,中秋餅,Tiong-tshiu-piánn,"食物、飲料、煙酒,相關器具、活動"
686,主詞目,中計,tiòng-kè,一般動詞-行為動詞
687,主詞目,內衫,lāi-sann,衣帽鞋襪
688,主詞目,中風,tiòng-hong,傷疾病痛
689,主詞目,五香,ngóo-hiang,食物、飲料、煙酒
690,主詞目,元首,guân-siú,"國家、社會、民眾,地位、身世、背景,政治"
691,主詞目,內面,lāi-bīn,空間方位
692,主詞目,允准,ín-tsún/ún-tsún,心理活動
693,主詞目,內套,lāi-thò,衣帽鞋襪
694,主詞目,元宵,Guân-siau,"時間節令,生活狀況,相關器具、活動"
695,主詞目,內孫,lāi-sun,"宗族、家庭,稱謂輩分"
696,主詞目,內容,luē-iông,事、物泛稱
697,主詞目,公家,kong-ka,國家、社會、民眾
698,主詞目,公家,kong-ke,"境況、狀態-擬物,性質、程度"
699,主詞目,不時,put-sî,時間節令
700,主詞目,六書,lio̍k-su,語言、文字、符號
701,主詞目,元氣,guân-khì,"反應、表情,體態樣貌"
702,主詞目,六畜,lio̍k-thiok,"自然現象,獸類"
703,主詞目,元神,guân-sîn,心理狀態
704,主詞目,中脊,tiong-tsit,建築物、結構
705,主詞目,分配,hun-phuè/hun-phè,一般動詞-行為動詞
706,主詞目,不動產,put-tōng-sán,錢財資產
707,主詞目,公婆,kong-pô,"宗族、家庭,兩性、婚姻,稱謂輩分"
708,主詞目,五彩,ngóo-tshái,顏色、氣味
709,主詞目,分張,pun-tiunn,個性風格
710,主詞目,不得了,put-tik-liáu,性質、程度
711,主詞目,不得已,put-tik-í,境況、狀態-擬人
712,主詞目,內情,luē-tsîng,
713,主詞目,中晝,tiong-tàu,"時間節令,食物、飲料、煙酒"
714,主詞目,中晝時,tiong-tàu-sî,時間節令
715,主詞目,中晝飯,tiong-tàu-pn̄g,食物、飲料、煙酒
716,主詞目,中晝頓,tiong-tàu-tǹg,食物、飲料、煙酒
717,主詞目,公眾,kong-tsiòng,國家、社會、民眾
718,主詞目,介紹,kài-siāu,"交際應酬,一般動詞-行為動詞"
719,主詞目,中途,tiong-tôo,道路、橋梁
720,主詞目,內部,luē-pōo,事、物泛稱
721,主詞目,冗剩,liōng-siōng,生活狀況
722,主詞目,內場,lāi-tiûnn,"戲劇、音樂,休閒、娛樂"
723,主詞目,公寓,kong-gū,建築物、結構
724,主詞目,分散,hun-suànn,一般動詞-靜態動詞
725,主詞目,不敢當,put-kám-tong,
726,主詞目,分發,hun-huat,"相關用語,教育、學術,一般動詞-行為動詞"
727,主詞目,中等,tiong-tíng,性質、程度
728,主詞目,勾結,kau-kiat,交際應酬
729,主詞目,不答不七,put-tap-put-tshit,道德評價
730,主詞目,五筋膎,gōo-kin-kê/gōo-kun-kuê,肢體動作
731,主詞目,公費,kong-huì,"相關用語,教育、學術,錢財資產"
732,主詞目,中間,tiong-kan,性質、程度
733,主詞目,公開,kong-khai,副詞
734,主詞目,公開,kong-khui,財務單位、活動
735,主詞目,分開,hun-khui,一般動詞-行為動詞
736,主詞目,中傷,tiòng-siong,待人處事
737,主詞目,內傷,lāi-siong,"傷疾病痛,心理狀態"
738,主詞目,公債,kong-tsè,錢財資產
739,主詞目,公園,kong-hn̂g,居住環境
740,主詞目,內媽,lāi-má,"宗族、家庭,稱謂輩分"
741,主詞目,公媽,kong-má,"宗族、家庭,相關器具、活動"
742,主詞目,中意,tìng-ì,待人處事
743,主詞目,仁愛,jîn-ài/lîn-ài,道德評價
744,主詞目,仁慈,jîn-tsû/lîn-tsû,道德評價
745,主詞目,凶煞,hiong-suah,"生養老死,相關器具、活動"
746,主詞目,不義,put-gī,道德評價
747,主詞目,仁義,jîn-gī/lîn-gī,道德評價
748,主詞目,內裡,lāi-lí,衣帽鞋襪
749,主詞目,勼跤,kiu-kha,一般動詞-行為動詞
750,主詞目,五路,ngóo-lōo,空間方位
751,主詞目,公路,kong-lōo,道路、橋梁
752,主詞目,公道,kong-tō,"氣質態度,心理狀態,待人處事,財務單位、活動,法律"
753,主詞目,不滿,put-buán,心理狀態
754,主詞目,五福,ngóo-hok,婚喪喜慶
755,主詞目,不管時,put-kuán-sî,時間節令
756,主詞目,內閣,luē-koh,政治
757,主詞目,冇數,phànn-siàu,"錢財資產,事、物泛稱"
758,主詞目,分數,hun-sòo,教育、學術
759,主詞目,五穀,ngóo-kok,食物、飲料、煙酒
760,主詞目,中學,tiong-ha̍k,教育、學術
761,主詞目,公學校,kong-ha̍k-hāu,教育、學術
762,主詞目,公親,kong-tshin,泛稱
763,主詞目,分錢,pun-tsînn,財務單位、活動
764,主詞目,公館,kong-kuán,"空間方位,國家、社會、民眾,建築物、結構"
765,主詞目,冇蟳,phànn-tsîm,"魚蝦海獸,食物、飲料、煙酒"
766,主詞目,中醫,tiong-i,"服務業及其他,醫療保健"
767,主詞目,分類,hun-luī,一般動詞-行為動詞
768,主詞目,分鐘,hun-tsing,"時間節令,數詞、量詞"
769,主詞目,分攤,hun-thuann,財務單位、活動
770,主詞目,五臟,ngóo-tsōng,生理構造
771,主詞目,化,hua,"傷疾病痛,一般動詞-靜態動詞"
772,主詞目,化,huà,"自然現象,一般動詞-靜態動詞"
773,主詞目,匹,phit,數詞、量詞
774,主詞目,升,tsin,"飲食物具,數詞、量詞"
775,主詞目,升,sing,"一般動詞-靜態動詞,一般動詞-活動動詞"
776,主詞目,午,gōo,時間節令
777,主詞目,午,ngóo,時間節令
778,主詞目,厄,eh,"生活狀況,災禍"
779,主詞目,友,iú,"交際應酬,待人處事"
780,主詞目,反,huán,"肢體動作,一般動詞-行為動詞,一般動詞-靜態動詞"
781,主詞目,反,píng,肢體動作
782,主詞目,壬,jîm/lîm,時間節令
783,主詞目,天,thian,"天文,神明、鬼怪、教派"
784,主詞目,天,thinn,"天文,氣候溫度,神明、鬼怪、教派"
785,主詞目,太,thài,副詞
786,主詞目,夫,hu,"宗族、家庭,兩性、婚姻,稱謂輩分,相關用語"
787,主詞目,少,tsió,性質、程度
788,主詞目,尺,tshe,戲劇、音樂
789,主詞目,尺,tshioh,"生活用品,數詞、量詞"
790,主詞目,廿,jia̍p/lia̍p,數詞、量詞
791,主詞目,引,ín,一般動詞-行為動詞
792,主詞目,心,sim,"空間方位,生理構造"
793,主詞目,戶,hōo,"兩性、婚姻,建築物、結構,數詞、量詞"
