詞目id,詞目類型,漢字,羅馬字,分類
344,主詞目,小叔,sió-tsik,"宗族、家庭,稱謂輩分"
345,主詞目,小管仔,sió-kńg-á,"魚蝦海獸,食物、飲料、煙酒,事、物泛稱"
346,主詞目,小兒科,sió-jî-kho/sió-lî-kho,醫療保健
347,主詞目,小兒麻痺,sió-jî-bâ-pì/sió-lî-bâ-pì,傷疾病痛
348,主詞目,山坪,suann-phiânn,"地理,自然現象"
349,主詞目,丈姆,tiūnn-ḿ,"兩性、婚姻,稱謂輩分"
350,主詞目,大姆,tuā-ḿ,"宗族、家庭,稱謂輩分"
351,主詞目,大姊,tuā-tsí,"宗族、家庭,稱謂輩分"
352,主詞目,大姑,tuā-koo,"宗族、家庭,稱謂輩分"
353,主詞目,小妹,sió-muē/sió-bē,"宗族、家庭,稱謂輩分"
354,主詞目,小姐,sió-tsiá,"宗族、家庭,稱謂輩分"
355,主詞目,小姑,sió-koo,"宗族、家庭,稱謂輩分"
356,主詞目,丈姆婆,tiūnn-ḿ-pô,"兩性、婚姻,稱謂輩分"
357,主詞目,下底,ē-té/ē-tué,空間方位
358,主詞目,大官,ta-kuann,"宗族、家庭,稱謂輩分"
359,主詞目,大官虎,tuā-kuann-hóo,"地位、身世、背景,政治"
360,主詞目,土性,thóo-sìng,"個性風格,氣質態度"
361,主詞目,下性命,hē-sènn-miā/hē-sìnn-miā,"個性風格,性質、程度,副詞"
362,主詞目,大房,tuā-pâng,"宗族、家庭,稱謂輩分"
363,主詞目,大拖,tuā-thua,農林業
364,主詞目,下昏,e-hng,時間節令
365,主詞目,山東白仔,suann-tang-pe̍h-á,"蔬果作物,食物、飲料、煙酒"
366,主詞目,下昏暗,e-hng-àm,時間節令
367,主詞目,乞的,khit--ê,泛稱
368,主詞目,土直,thóo-ti̍t,個性風格
369,主詞目,三肢手,sann-ki-tshiú,相關用語
370,主詞目,久長,kú-tn̂g,時間節令
371,主詞目,千金,tshian-kim,"宗族、家庭,稱謂輩分,性質、程度"
372,主詞目,三長兩短,sann-tn̂g-nn̄g-té,生養老死
